name,state
Umuahia,ABIA,
Abuja,ABUJA,
Yola,ADAMAWA,
Uyo,AKWA IBOM,
Awka,ANAMBRA,
Bauchi,BAUCHI,
Yenegoa,BAYELSA,
Makurdi,BENUE,
Maiduguri,BORNO,
Calabar,CROSS RIVERS,
Asaba,DELTA,
Abakaliki,EBONYI,
Benin,EDO,
Ado-Ekiti,EKITI,
Enugu,ENUGU,
Gombe,GOMBE,
Owerri,IMO,
Dutse,JIGAWA,
Kaduna,KADUNA,
Kano,KANO,
Katsina,KATSINA,
Kebbi,KEBBI,
Lokoja,KOGI,
Ilorin,KWARA,
Ikeja,LAGOS,
Ikorodu,LAGOS,
Ojo,LAGOS,
Yaba,LAGOS,
Lafia,NASSARAWA,
Minna,NIGER,
Abeokuta,OGUN,
Akure,ONDO,
Oshogbo,OSUN,
Ibadan,OYO,
Jos,PLATEAU,
Port-Harcourt,RIVERS,
Sokoto,SOKOTO,
Jalingo,TARABA,
Damaturu,YOBE,
Gusau,ZAMFARA,